error_message,input_borough,input_hnum,input_street,uid
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,21,CHURCH LANE,301075949
ADDRESS NUMBER OUT OF RANGE ,Queens,41-37,67 STREET,402421731
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1071,52 STREET,301022337
ADDRESS NUMBER OUT OF RANGE ,Bronx,561,BRONX RIVER AVENUE,200861763
ADDRESS NUMBER OUT OF RANGE ,Queens,21,17 ROAD,421006244
ADDRESS NUMBER OUT OF RANGE ,Staten Island,49,WILLIS AVENUE,500499766
ADDRESS NUMBER OUT OF RANGE ,Staten Island,107,JOHN STREET,500798185
ADDRESS NUMBER OUT OF RANGE ,Staten Island,43,VAUGHAN STREET,500803348
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,189,FLATBUSH AVENUE,302310309
ADDRESS NUMBER OUT OF RANGE ,Staten Island,197,FATHER CAPODANNO BOULEVARD,500600227
ADDRESS NUMBER OUT OF RANGE ,Bronx,2256,BRONX PARK EAST,201052118
ADDRESS NUMBER OUT OF RANGE ,Queens,31-23 REAR,NEWTOWN AVENUE,420848505
ADDRESS NUMBER OUT OF RANGE ,Queens,21-19,31ST AVENUE,421195977
ADDRESS NUMBER OUT OF RANGE ,Manhattan,926,CRAIG ROAD SOUTH,121736915
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,11,KENILWORTH PLACE,301964051
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1577,WEST 7 STREET,301912786
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1577,WEST 7 STREET,301912777
ADDRESS NUMBER OUT OF RANGE ,Staten Island,906,CLOVE ROAD,500900698
ADDRESS NUMBER OUT OF RANGE ,Queens,43-02,57 AVENUE,401058109
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,63,NOLANS LANE,302185506
ADDRESS NUMBER OUT OF RANGE ,Queens,70-25,80 STREET,401822532
ADDRESS NUMBER OUT OF RANGE ,Staten Island,426,GANSEVOORT BOULEVARD,520212911
ADDRESS NUMBER OUT OF RANGE ,Staten Island,137,EBBITTS STREET,520107740
ADDRESS NUMBER OUT OF RANGE ,Staten Island,28,ARLINGTON AVENUE,500801439
ADDRESS NUMBER OUT OF RANGE ,Staten Island,18,KENNETH PLACE,500807102
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,620,PACIFIC STREET,302168847
THIS STREET HAS NO ADDRESSES ,Staten Island,16,GARRAYS CIRCLE,500434069
ADDRESS NUMBER OUT OF RANGE ,Staten Island,6,WINDOM AVENUE,500591969
ADDRESS NUMBER OUT OF RANGE ,Staten Island,561,SHELDON AVENUE,520276736
'AVENUE ''S''' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,464,AVENUE ''S'',321359178
ADDRESS NUMBER OUT OF RANGE ,Queens,149-60,124 STREET,402676314
ADDRESS NUMBER OUT OF RANGE ,Queens,132-22,41 AVENUE,402675244
ADDRESS NUMBER OUT OF RANGE ,Queens,109-54,CORONA AVE,420103140
ADDRESS NUMBER OUT OF RANGE ,Queens,14-57,31 AVENUE,420953622
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1040 GARAGE,57 STREET,321087444
ADDRESS NUMBER OUT OF RANGE ,Queens,144A,GENERAL BERRY ROAD,402387573
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1100,ROCKAWAY PARKWAY,320944546
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,84,NORTH 3RD STREET,321079532
ADDRESS NUMBER OUT OF RANGE ,Bronx,3109 GAR,BUHRE AVE,220474555
ADDRESS NUMBER OUT OF RANGE ,Bronx,246,HOSMER AVENUE,200661024
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,3038,BRIGHTON 1 STREET,301826709
ADDRESS NUMBER OUT OF RANGE ,Queens,83-79,117 STREET,401637083
ADDRESS NUMBER OUT OF RANGE ,Queens,207-215,BEACH 3 STREET,401575942
ADDRESS NUMBER OUT OF RANGE ,Queens,207-215,BEACH 3 STREET,401575933
ADDRESS NUMBER OUT OF RANGE ,Staten Island,347,PARKINSON AVENUE,500446724
ADDRESS NUMBER OUT OF RANGE ,Staten Island,491,FATHER CAPODANNO BOULEVARD,500577958
ADDRESS NUMBER OUT OF RANGE ,Staten Island,112,SWEETBROOK ROAD,500586788
ADDRESS NUMBER OUT OF RANGE ,Staten Island,43,CROMWELL AVENUE,500588857
ADDRESS NUMBER OUT OF RANGE ,Staten Island,440,BRADLEY AVENUE,500799013
ADDRESS NUMBER OUT OF RANGE ,Staten Island,40,WEED AVENUE,500799004
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,208,MYRTLE AVENUE,302391855
ADDRESS NUMBER OUT OF RANGE ,Queens,134-06,101 AVENUE,401754080
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,4100,AVENUE U,302400033
ADDRESS NUMBER OUT OF RANGE ,Queens,109-50,CENTREVILLE STREET,402136728
ADDRESS NUMBER OUT OF RANGE ,Queens,178-38,WEXFORD TERRACE,402085961
ADDRESS NUMBER OUT OF RANGE ,Queens,78-09,46 AVENUE,402307115
ADDRESS NUMBER OUT OF RANGE ,Queens,71-21,80 STREET,402186950
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1,HELENA ROAD,500734912
ADDRESS NUMBER OUT OF RANGE ,Staten Island,301,BEMENT AVENUE,500655935
ADDRESS NUMBER OUT OF RANGE ,Queens,23-47,96 STREET,420300524
ADDRESS NUMBER OUT OF RANGE ,Bronx,238,CITY ISLAND AVENUE,210120901
THIS STREET HAS NO ADDRESSES ,Queens,5,WOODROW COTTAGES,420366473
THIS STREET HAS NO ADDRESSES ,Queens,8,WOODROW COTTAGES,420366507
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1,MONTAUK PLACE,500645484
ADDRESS NUMBER OUT OF RANGE ,Queens,244-01,MERRICK BOULEVARD,401878848
ADDRESS NUMBER OUT OF RANGE ,Staten Island,277,DEWEY AVENUE,500427077
ADDRESS NUMBER OUT OF RANGE ,Queens,4501,37 AVENUE,420628958
'FATHER CAPODANNO BOULEVAR' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES. ,Staten Island,183,FATHER CAPODANNO BOULEVAR,500596599
ADDRESS NUMBER OUT OF RANGE ,Staten Island,50,GROVE AVENUE,500623836
ADDRESS NUMBER OUT OF RANGE ,Staten Island,147,JUSTIN AVENUE,520090641
ADDRESS NUMBER OUT OF RANGE ,Queens,31-82,37TH STREET,410207306
ADDRESS NUMBER OUT OF RANGE ,Queens,60-22,MARATHON PARKWAY,420485843
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1551 GARAGE,49 STREET,321254263
ADDRESS NUMBER OUT OF RANGE ,Queens,40-17,28TH AVENUE,421422730
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,688,BUSHWICK AVENUE,321202293
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1612 GAR,EAST 15 STREET,321285756
ADDRESS NUMBER OUT OF RANGE ,Queens,60-08,172 STREET,402672247
ADDRESS NUMBER OUT OF RANGE ,Queens,31-11,35TH AVENUE,420092633
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,68,FURMAN AVENUE,310276778
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1346,ROCKLAND AVENUE,500912104
'ST MARK''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,1286,ST MARK''S AVENUE,302347128
'FATHER CAPODANO BOULEVARD' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES. ,Staten Island,621,FATHER CAPODANO BOULEVARD,520032919
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,286A,COOPER STREET,301823196
'DR THEODORE KAZIMIROFF BO' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Bronx,2664,DR THEODORE KAZIMIROFF BO,220015409
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1084,71 STREET,301774998
'ST MARK''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,1272,ST MARK''S AVENUE,302347057
'ST. JOHN''S PLACE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,910,ST. JOHN''S PLACE,320900478
ADDRESS NUMBER OUT OF RANGE ,Queens,22-33,74 STREET,402080555
ADDRESS NUMBER OUT OF RANGE ,Queens,53-04,HORATIO PARKWAY,402430053
ADDRESS NUMBER OUT OF RANGE ,Queens,38-28,27 STREET,402632246
ADDRESS NUMBER OUT OF RANGE ,Queens,2-15,CONSTITUTION PLACE,420044712
ADDRESS NUMBER OUT OF RANGE ,Queens,21-42,44TH DRIVE,421188618
ADDRESS NUMBER OUT OF RANGE ,Staten Island,178A,PULASKI AVENUE,500786312
ADDRESS NUMBER OUT OF RANGE ,Staten Island,18,EDGEVIEW LANE,520101149
ADDRESS NUMBER OUT OF RANGE ,Queens,108-74,44 AVENUE,402213010
ADDRESS NUMBER OUT OF RANGE ,Staten Island,262G,ELIZABETH STREET,520236218
ADDRESS NUMBER OUT OF RANGE ,Staten Island,176G,FOCH AVENUE,520288849
ADDRESS NUMBER OUT OF RANGE ,Bronx,65A,ISLAND POINT,220403560
ADDRESS NUMBER OUT OF RANGE ,Queens,97-04,103 AVENUE,402455712
ADDRESS NUMBER OUT OF RANGE ,Queens,133-16,130 STREET,402365329
ADDRESS NUMBER OUT OF RANGE ,Queens,150-30,JEWELS ROAD,402631513
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,9,RIVIERA DRIVE,302231056
ADDRESS NUMBER OUT OF RANGE ,Staten Island,489,MORNINGSTAR ROAD,500735332
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,441,AVENUE Y,301937796
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,193,BRIDGE STREET,301113113
THIS STREET HAS NO ADDRESSES ,Staten Island,94,BENEDET CIRCLE,500413536
THIS STREET HAS NO ADDRESSES ,Staten Island,114,BENEDET CIRCLE,500413545
ADDRESS NUMBER OUT OF RANGE ,Staten Island,160,WOOD AVENUE,500809823
ADDRESS NUMBER OUT OF RANGE ,Queens,188-20 GAR,WOODHULL AVENUE,421019187
ADDRESS NUMBER OUT OF RANGE ,Staten Island,333,BURGHER AVENUE,520005958
ADDRESS NUMBER OUT OF RANGE ,Queens,510,SEAGIRT AVENUE,402203655
ADDRESS NUMBER OUT OF RANGE ,Queens,1835,GATEWAY BOULEVARD,402584618
ADDRESS NUMBER OUT OF RANGE ,Staten Island,334,RAMONA AVENUE,510000277
ADDRESS NUMBER OUT OF RANGE ,Queens,150-06,6TH AVENUE,420006095
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,233,FRANKLIN AVENUE,302085589
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,536-538,VANDERBILT AVENUE,302305565
ADDRESS NUMBER OUT OF RANGE ,Manhattan,57,WEST 27 STREET,103189176
ADDRESS NUMBER OUT OF RANGE ,Manhattan,218,EAST 59 STREET,102833221
ADDRESS NUMBER OUT OF RANGE ,Queens,172-20,HENLEY ROAD,402311869
ADDRESS NUMBER OUT OF RANGE ,Manhattan,298,11 AVENUE,103941861
ADDRESS NUMBER OUT OF RANGE ,Queens,66-41,79 PLACE,401581659
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,806,BEDFORD AVENUE,302006111
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,127,WATER STREET,301675578
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,252,MANHATTAN AVENUE,301893066
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,24,DIKEMAN STREET,302015192
ADDRESS NUMBER OUT OF RANGE ,Queens,90-22,171 STREET,402221911
ADDRESS NUMBER OUT OF RANGE ,Queens,108-13A,50 AVENUE,402275612
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1746,EAST 93 STREET,320626854
ADDRESS NUMBER OUT OF RANGE ,Queens,119-01,LEFFERTS BLVD.,420936937
ADDRESS NUMBER OUT OF RANGE ,Queens,137-79,THURSTON STREET,420006638
ADDRESS NUMBER OUT OF RANGE ,Queens,1,EVERDELL AVENUE,402241917
ADDRESS NUMBER OUT OF RANGE ,Staten Island,5475,ARTHUR KILL ROAD,500626398
ADDRESS NUMBER OUT OF RANGE ,Bronx,812,EAGLE AVENUE,201142842
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,471,CRESCENT STREET,302585450
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2765,CROPSEY AVENUE,321010106
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,872,SCHENCK AVENUE,310231200
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,435,GREENPOINT AVENUE,310071999
ADDRESS NUMBER OUT OF RANGE ,Staten Island,20,ROCKWELL AVENUE,510062085
ADDRESS NUMBER OUT OF RANGE ,Queens,30-56,14TH STREET,421246011
ADDRESS NUMBER OUT OF RANGE ,Queens,32-48,61ST STREET,420468513
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,622,PACIFIC STREET,301693371
ADDRESS NUMBER OUT OF RANGE ,Staten Island,71,LAWN AVENUE,520310994
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,253,NORTH 9 STREET,301421977
ADDRESS NUMBER OUT OF RANGE ,Queens,84-80,127 STREET,401861945
ADDRESS NUMBER OUT OF RANGE ,Staten Island,344 REAR,HANOVER AVENUE,520365649
ADDRESS NUMBER OUT OF RANGE ,Queens,194,BEACH 102 STREET,402267024
ADDRESS NUMBER OUT OF RANGE ,Staten Island,48GAR,SOUTH AVENUE,520361439
ADDRESS NUMBER OUT OF RANGE ,Queens,152-26,UNION TURNPIKE,402273222
ADDRESS NUMBER OUT OF RANGE ,Queens,126-16,LOCUST MANOR LANE,402412670
ADDRESS NUMBER OUT OF RANGE ,Queens,31-51,31ST STREET,420663188
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,308,METROPOLITAN AVENUE,302306984
ADDRESS NUMBER OUT OF RANGE ,Queens,19-11,20TH AVENUE,420658880
ADDRESS NUMBER OUT OF RANGE ,Queens,1873,STARR STREET,421226024
ADDRESS NUMBER OUT OF RANGE ,Queens,107-11,164 STREET,401110150
ADDRESS NUMBER OUT OF RANGE ,Manhattan,373,WEST 34 STREET,103220211
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,24B,VERNON AVENUE,301374126
ADDRESS NUMBER OUT OF RANGE ,Queens,12,BEACH 217 STREET,401604055
ADDRESS NUMBER OUT OF RANGE ,Staten Island,22,HALE STREET,500456295
ADDRESS NUMBER OUT OF RANGE ,Staten Island,461,BERTRAM AVENUE,500413670
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1438,EAST 17 STREET,301981568
ADDRESS NUMBER OUT OF RANGE ,Staten Island,503,MOUNTAINVIEW AVENUE,500577217
ADDRESS NUMBER OUT OF RANGE ,Staten Island,224,TENNYSON DRIVE,500749746
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,226,BUSHWICK AVENUE,302211595
ADDRESS NUMBER OUT OF RANGE ,Queens,36-37,169 STREET,402320467
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1345,HUGUENOT AVENUE,500474612
ADDRESS NUMBER OUT OF RANGE ,Queens,80-32,COOPER AVENUE,401823924
ADDRESS NUMBER OUT OF RANGE ,Staten Island,998,WILLOWBROOK ROAD,500519502
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,108,4 AVENUE,302066948
ADDRESS NUMBER OUT OF RANGE ,Staten Island,661,RICHMOND ROAD,500908510
ADDRESS NUMBER OUT OF RANGE ,Manhattan,70,WEST 38 STREET,102751924
ADDRESS NUMBER OUT OF RANGE ,Staten Island,63,ETON PLACE,500811650
ADDRESS NUMBER OUT OF RANGE ,Staten Island,145,GARRETSON AVENUE,500645661
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1062REAR-A,67 STREET,302139843
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1542,OVINGTON AVENUE,320500640
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1359,EAST 53 STREET,301942815
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,88,HILL STREET,301523215
ADDRESS NUMBER OUT OF RANGE ,Queens,50-50,2ND STREET,420187309
ADDRESS NUMBER OUT OF RANGE ,Queens,407,MURRAY AVENUE,410186542
ADDRESS NUMBER OUT OF RANGE ,Queens,148-19GAR,90TH AVE,420536897
ADDRESS NUMBER OUT OF RANGE ,Queens,216-03,113 AVENUE,420943830
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,6807REAR,AVENUE V,321790709
ADDRESS NUMBER OUT OF RANGE ,Staten Island,366GAR,FREEBORN STREET,520286075
ADDRESS NUMBER OUT OF RANGE ,Queens,135-08,131 STREET,401947596
ADDRESS NUMBER OUT OF RANGE ,Queens,43-06,MORGAN STREET,401747892
ADDRESS NUMBER OUT OF RANGE ,Queens,66-26,GRAY STREET,410179907
ADDRESS NUMBER OUT OF RANGE ,Queens,41-08,70 STREET,420003034
ADDRESS NUMBER OUT OF RANGE ,Queens,37-50GAR,72ND STREET,421226505
ADDRESS NUMBER OUT OF RANGE ,Staten Island,123,FINLAY AVENUE,520318521
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,264,KENT AVE,321626610
ADDRESS NUMBER OUT OF RANGE ,Manhattan,45,EAST 49 STREET,102915151
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,315,GREEN STREET,301396889
ADDRESS NUMBER OUT OF RANGE ,Bronx,877,MORRIS AVENUE,200692786
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,302,PALMETTO STREET,301018128
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,194,SEIGEL STREET,301116236
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2120,EAST 4 STREET,301525482
ADDRESS NUMBER OUT OF RANGE ,Queens,321-99,99 STREET,401249797
ADDRESS NUMBER OUT OF RANGE ,Queens,106-64,SHORTHILL ROAD,401383221
ADDRESS NUMBER OUT OF RANGE ,Queens,9,SUMMIT COURT,401473080
ADDRESS NUMBER OUT OF RANGE ,Queens,86-76,MIDLAND PARKWAY,401702840
ADDRESS NUMBER OUT OF RANGE ,Queens,89-35,70 DRIVE,402080083
ADDRESS NUMBER OUT OF RANGE ,Queens,89-35,70 DRIVE,402080074
ADDRESS NUMBER OUT OF RANGE ,Queens,24-14,94 STREET,402240810
ADDRESS NUMBER OUT OF RANGE ,Staten Island,145,GARRETSON AVENUE,500634334
ADDRESS NUMBER OUT OF RANGE ,Staten Island,84,MAPLE AVENUE,500622631
ADDRESS NUMBER OUT OF RANGE ,Staten Island,2758,ARTHUR KILL ROAD,500753151
ADDRESS NUMBER OUT OF RANGE ,Bronx,770 REAR,BRUSH AVE,220257610
ADDRESS NUMBER OUT OF RANGE ,Manhattan,256,EAST 49 STREET,104701360
ADDRESS NUMBER OUT OF RANGE ,Queens,2-19,BEACH 101 STREET,402371517
ADDRESS NUMBER OUT OF RANGE ,Queens,7174,PARSONS BOULEVARD,402478742
ADDRESS NUMBER OUT OF RANGE ,Queens,172-11,HIGHLAND AVENUE,402312591
ADDRESS NUMBER OUT OF RANGE ,Queens,141-10,CHERRY AVENUE,402666833
ADDRESS NUMBER OUT OF RANGE ,Queens,46-37,5 STREET,402667761
ADDRESS NUMBER OUT OF RANGE ,Staten Island,2722,ARTHUR KILL ROAD,500478020
THIS STREET HAS NO ADDRESSES ,Queens,4,WOODROW COTTAGES,420365795
ADDRESS NUMBER OUT OF RANGE ,Queens,64-76,WETHEROLE STREET,420635003
ADDRESS NUMBER OUT OF RANGE ,Queens,46-10A,88 STREET,420362761
ADDRESS NUMBER OUT OF RANGE ,Queens,143-14,QUINCE AVENUE,420965129
ADDRESS NUMBER OUT OF RANGE ,Queens,106-07,REMINGTON STREET,401181154
'ST ANN''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Bronx,644,ST ANN''S AVENUE,200712283
'FATHER CAPODANO BOULEVARD' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES. ,Staten Island,411,FATHER CAPODANO BOULEVARD,500439527
ADDRESS NUMBER OUT OF RANGE ,Staten Island,115,DAVIS AVENUE,500444566
ADDRESS NUMBER OUT OF RANGE ,Staten Island,966,HUGUENOT AVENUE,500568931
'FATHER CAPODANNO BOULEVAR' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES. ,Staten Island,191,FATHER CAPODANNO BOULEVAR,500596553
ADDRESS NUMBER OUT OF RANGE ,Staten Island,216,WINCHESTER AVENUE,500599499
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,3719,15 AVENUE,302316713
ADDRESS NBR 30-75 GARA  HAS AN EMBEDDED BLANK. ,Queens,30-75 GARA,32 STREET,421364017
ADDRESS NUMBER OUT OF RANGE ,Staten Island,373,SHARON AVENUE,520212859
ADDRESS NUMBER OUT OF RANGE ,Queens,64-70,WETHEROLE STREET,420494316
ADDRESS NUMBER OUT OF RANGE ,Queens,3027GAR,21ST STREET,420810572
ADDRESS NUMBER OUT OF RANGE ,Staten Island,22,NORMAN PLACE,520252299
ADDRESS NUMBER OUT OF RANGE ,Queens,30-66GAR,38TH ST,421194291
ADDRESS NUMBER OUT OF RANGE ,Bronx,3329,WEBSTER AVENUE,201140933
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2413,OCEAN AVE,320898392
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,248,NEWKIRK AVENUE,321205352
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,262GAR,SULLIVAN PLACE,321305770
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,309GAR,LENOX ROAD,321305823
ADDRESS NUMBER OUT OF RANGE ,Staten Island,496,PENDALE STREET,500911953
ADDRESS NUMBER OUT OF RANGE ,Staten Island,222,BRADLEY AVENUE,520181348
ADDRESS NUMBER OUT OF RANGE ,Bronx,2666,DR THEODORE KAZIMIROFF BLVD,200775483
ADDRESS NUMBER OUT OF RANGE ,Bronx,4,SAMANTHA WAY,200851042
ADDRESS NUMBER OUT OF RANGE ,Bronx,1340,PELHAM PARKWAY SOUTH,200875892
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,316,GRAND AVENUE,301837083
ADDRESS NUMBER OUT OF RANGE ,Bronx,266,ZEREGA AVENUE,200740902
THIS STREET HAS NO ADDRESSES ,Bronx,3405,BRUCKNER EXPRESSWAY,200909785
'ST MARK''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,1284,ST MARK''S AVENUE,302347119
'ST MARK''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,1292,ST MARK''S AVENUE,302347155
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2730,EAST 23RD STREET,310192519
ADDRESS NUMBER OUT OF RANGE ,Queens,134-06,101 AVENUE,401837955
ADDRESS NUMBER OUT OF RANGE ,Queens,28-51,216TH STREET,420361986
ADDRESS NUMBER OUT OF RANGE ,Queens,148-15,90 AVE,420533177
ADDRESS NUMBER OUT OF RANGE ,Queens,81-03,CHEVY CHASE STREET,421034026
'O''GORMAN AVENUE' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES ,Staten Island,423,O''GORMAN AVENUE,500860320
ADDRESS NUMBER OUT OF RANGE ,Bronx,1420,PELHAM PARKWAY SOUTH,200678891
ADDRESS NUMBER OUT OF RANGE ,Staten Island,181,ROSE AVENUE,520019792
ADDRESS NUMBER OUT OF RANGE ,Staten Island,64,WINDHAM LOOP,520052120
ADDRESS NUMBER OUT OF RANGE ,Staten Island,167,DELAWARE AVENUE,520251496
ADDRESS NUMBER OUT OF RANGE ,Manhattan,3205,BROADWAY,120700474
ADDRESS NUMBER OUT OF RANGE ,Manhattan,867,9 AVENUE,110336752
ADDRESS NUMBER OUT OF RANGE ,Bronx,2904,OTIS AVENUE,200815467
ADDRESS NUMBER OUT OF RANGE ,Queens,52-02,METROPOLITAN AVENUE,402029470
ADDRESS NUMBER OUT OF RANGE ,Manhattan,185,BROADWAY,121188703
'MITCHEL COURT' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES. ,Staten Island,39,MITCHEL COURT,500502066
ADDRESS NUMBER OUT OF RANGE ,Queens,246-18,ALAMEDA AV,420023147
ADDRESS NUMBER OUT OF RANGE ,Staten Island,27,CLOVE LAKES PLACE,520211315
ADDRESS NUMBER OUT OF RANGE ,Bronx,939,SUMMIT AVENUE,200809606
ADDRESS NUMBER OUT OF RANGE ,Manhattan,567,NINTH AVE,121955928
'E. TREMONT' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES. ,Bronx,423,E. TREMONT,220057738
ADDRESS NUMBER OUT OF RANGE ,Staten Island,55,HALL AVENUE,500405073
ADDRESS NUMBER OUT OF RANGE ,Manhattan,954,CRAIG ROAD NORTH,104945758
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1395,EASTERN PARKWAY,301747796
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,914,HOPKINSON AVENUE,302165635
'SNEDIKDER AVENUE' NOT RECOGNIZED. IS IT 'SNEDIKER AVENUE'? ,Brooklyn,418,SNEDIKDER AVENUE,321184099
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2944,BRIGHTON 3 STREET,302260407
ADDRESS NUMBER OUT OF RANGE ,Queens,182-11,EASTERN ROAD,410076796
ADDRESS NUMBER OUT OF RANGE ,Manhattan,536,EAST 119 STREET,104012809
ADDRESS NUMBER OUT OF RANGE ,Manhattan,537,WEST END AVENUE,104775600
ADDRESS NUMBER OUT OF RANGE ,Staten Island,7474,AMBOY ROAD,520217042
ADDRESS NUMBER OUT OF RANGE ,Queens,30-14A,37 AVENUE,420663632
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2779,BROWN STREET,301807677
ADDRESS NUMBER OUT OF RANGE ,Manhattan,37,WEST 56 STREET,102852218
ADDRESS NUMBER OUT OF RANGE ,Bronx,596,WALES AVENUE,200874214
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,570,4 AVENUE,302270316
ADDRESS NUMBER OUT OF RANGE ,Queens,42-21,MAIN STREET,402426763
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,129A,DEGRAW STREET,302052338
ADDRESS NUMBER OUT OF RANGE ,Staten Island,42,MILL ROAD,520121341
ADDRESS NUMBER OUT OF RANGE ,Queens,41-11,23 STREET,421083963
ADDRESS NUMBER OUT OF RANGE ,Staten Island,20,TALARICO COURT,500749265
ADDRESS NUMBER OUT OF RANGE ,Staten Island,11,JOHNSON STREET,520281114
ADDRESS NUMBER OUT OF RANGE ,Staten Island,280,GIFFORDS LANE,500595787
ADDRESS NUMBER OUT OF RANGE ,Queens,87-01,KINGSTON PLACE,401694859
ADDRESS NUMBER OUT OF RANGE ,Queens,170-38,93 AVENUE,402282999
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,180,BAY 29 STREET,301217163
ADDRESS NUMBER OUT OF RANGE ,Staten Island,376,BADEN PLACE,520196387
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,3007GAR,AVENUE I,321546957
ADDRESS NUMBER OUT OF RANGE ,Queens,43-14GAR,212 STREET,421213984
ADDRESS NUMBER OUT OF RANGE ,Queens,15-20,120 STREET,402374113
ADDRESS NUMBER OUT OF RANGE ,Queens,180-62,42 ST,401505858
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1771GAR,49 STREET,320825176
ADDRESS NUMBER OUT OF RANGE ,Queens,89-15,QUEENS BOULEVARD,402007163
ADDRESS NUMBER OUT OF RANGE ,Queens,37-52 GAR,72ND STREET,421046969
ADDRESS NUMBER OUT OF RANGE ,Staten Island,119,HANOVER AVENUE,520164599
