job_number,job_type,job_description,occ_init,occ_prop,occ_category,stories_init,stories_prop,zoningsft_init,zoningsft_prop,units_init,units_prop,units_net,units_complete,units_incomplete,co_earliest_effectivedate,co_latest_effectivedate,co_latest_certtype,co_latest_units,status,status_date,status_a,status_d,status_p,status_q,status_r,status_x,address_house,address_street,address,bin,bbl,boro,geo_address_house,geo_address_street,geo_address,geo_bin,geo_bbl,geo_boro,geo_cd,geo_ntacode2010,geo_censusblock2010,geo_csd,geo_council,x_dcpedited,x_mixeduse,x_inactive,x_geomsource,x_reason,latitude,longitude,geom
320384035,Alteration,CONVERT EXISTING RESIDENTIAL STRUCTURE TO SYNAGOGUE,Residential,Assembly: Other,Residential,3,4,6993,9839,2,2,0,0,,,,,,Permit issued,12/18/2014 12:00:00 AM,10/27/2011,11/22/2011,06/12/2013,2013-07-29,,,1914,50TH ST,1914 50TH ST,3129507,3054620012,Brooklyn,1914,50 STREET,1914 50 STREET,3129507,3054620012,3,312,BK88,464,21,44,,,false,Lat/Long geosupport,,40.625886,-73.978958,0101000020E6100000168A743FA77E52C01B834E081D504440
320423822,Alteration,PROPOSING TO CONVERT EXSISTING 2 FAMILY & DOCTORS OFFICE     TO COMMUNITY FACILTY WITH     MINOR PLUMBING & PARTITION WORK AS PER PLAN,Residential: 1 & 2 Family,Assembly: Other,Residential,3,3,3865,3865,2,,,,,,,,,Permit issued,03/11/2016 12:00:00 AM,01/20/2012,01/20/2012,05/11/2012,2013-02-28,03/11/2016,,1703,AVE J,1703 AVE J,3179741,3067100077,Brooklyn,1701,AVENUE J,1701 AVENUE J,3179741,3067100077,3,314,BK43,532,22,44,,,false,Lat/Long geosupport,,40.625650,-73.959321,0101000020E61000006D57E883657D52C0075F984C15504440
320510835,Alteration,HEREWITH FILING TO OBTAIN NEW CERTIFICATE OF OCCUPANCY TO SHOW COMMUNITY FACILITY IN LIEU OF CLUBHOUSE. FILING TO REPAIR FACADE AND MINOR INTERIOR WORK AS PER PLANS.,Public,Assembly: Other,Other,1,1,3827,3827,,,,,,,,,,Permit issued,12/06/2017 12:00:00 AM,07/16/2012,08/10/2012,03/06/2017,2017-12-06,12/06/2017,,339,8TH STREET,339 8TH STREET,3021911,3009990046,Brooklyn,339,8 STREET,339 8 STREET,3021911,3009990046,3,306,BK37,137,15,39,,,false,Lat/Long geosupport,,40.669065,-73.983782,0101000020E61000002F19C748F67E52C0FAF202ECA3554440
320611619,Alteration,"EXISTING CHURCH ON 209 ROCHESTER AVE CONJUNCTION WITH 203, 205 & 207 ROCHESTER AVE. CHANGE EXISTING 2ND & 3RD FLOOR TO BE ACCESSORY OFFICE. OBTAIN NEW C.O.",Assembly: Other,Assembly: Other,Other,2,2,4959,4959,,,,,,,,,,Permit issued,12/14/2012 12:00:00 AM,08/22/2012,08/22/2012,11/20/2012,2012-12-14,12/14/2012,,209,ROCHESTER AVE,209 ROCHESTER AVE,3036596,3013740006,Brooklyn,209,ROCHESTER AVENUE,209 ROCHESTER AVENUE,3036596,3013740006,3,308,BK61,347,17,36,,,false,Lat/Long geosupport,,40.671700,-73.927768,0101000020E61000009F91088D607B52C0925CFE43FA554440
320690579,Demolition,FILING HEREWITH DEMOLITION OF ONE STORY BUILDING AS INDICATED ON PLANS,Assembly: Other,Empty Lot,Other,1,0,,0,,0,,,,,,,,Complete (demolition),07/25/2013 12:00:00 AM,12/12/2012,12/12/2012,12/12/2012,2013-06-27,07/10/2013,07/25/2013,2189,FLATBUSH AVENUE,2189 FLATBUSH AVENUE,3220793,3078910001,Brooklyn,,FLATBUSH AVENUE,,,,,318,BK58,674,22,46,,,false,BBL DOB MapPLUTO,,40.6167259681251,-73.9298739968143,0101000020E6100000F66D390E837B52C07FD863E0F04E4440
320694021,Alteration,APPLICATION FILED TO CHANGE OCCUPANCY USE OF EXITING COMMUNITY FACILITY PORTION TO DAY CARE AS SHOW  ON PLANS. NO PHYSICAL WORK PROPOSED UNDER THIS APPLICATION.,Residential: Multi-Family,Assembly: Other,Residential,4,4,6364,6364,1,1,0,0,0,2013-05-10,2013-05-10,C- CO,1,Complete,05/10/2013 12:00:00 AM,01/10/2013,01/10/2013,02/26/2013,2013-04-23,04/23/2013,05/10/2013,4202,12 AVENUE,4202 12 AVENUE,3135856,3055970041,Brooklyn,4202,12 AVENUE,4202 12 AVENUE,3135856,3055970041,3,312,BK88,224,15,39,,,false,Lat/Long geosupport,,40.640352,-73.990574,0101000020E610000025917D90657F52C0CFF6E80DF7514440
320986796,Alteration,PROPOSE TO ALTER EXISTING BUILDING TO ACCOMMODATE AN INDIVIDUALIZED RESIDENTIAL ALTERNATIVE AS PER PLANS FILED HEREWITH.,Residential,Assembly: Other,Residential,2,2,1350,1350,1,1,0,0,,,,,,Permit issued,01/07/2016 12:00:00 AM,09/30/2014,09/30/2014,11/12/2014,2015-01-30,05/07/2015,,1452,EAST 66TH STREET,1452 EAST 66TH STREET,3236489,3083870075,Brooklyn,1452,EAST   66 STREET,1452 EAST 66 STREET,3236489,3083870075,3,318,BK45,69602,22,46,,true,false,Lat/Long geosupport,,40.619372,-73.913636,0101000020E6100000B01C2103797A52C07007EA94474F4440
321088611,Alteration,FILING TO CONVERT EXISTING TWO FAMILY DWELLING INTO TWO FAMILY DWELLING WITH COMMUNITY FACILITY AT FIRST FLOOR.,Residential,Assembly: Other,Residential,2,2,2574,2574,2,2,0,0,,,,,,Permit issued,04/03/2017 12:00:00 AM,03/09/2015,04/03/2015,02/22/2017,2017-04-03,,,671,EAST 7TH STREET,671 EAST 7TH STREET,3127293,3054010076,Brooklyn,671,EAST    7 STREET,671 EAST 7 STREET,3127293,3054010076,3,312,BK41,484,22,40,,,false,Lat/Long geosupport,,40.635255,-73.970838,0101000020E6100000B3EDB435227E52C06CCF2C0950514440
321096602,Alteration,"CHANGE USE OF BUILDING FROM DETACHED 2 FAMILY RESIDENTIAL BUILDING. USE GROUP 1A TO COMMUNITY FACILITY BUILDING, HOUSE OF WORSHIP USE GROUP 4A.EXISTING OLD CODE CLASS 4 BUILDING.PROPOSED CLASS 3(IIB) EXISTING 1938 BUILDING CODE REVISED WITH 1968 BUILDING CODE",Residential,Assembly: Other,Residential,3,3,2394,4718,2,1,-1,0,,,,,,Permit issued,08/14/2018 12:00:00 AM,05/28/2015,05/28/2015,10/21/2015,2015-11-06,06/28/2016,,1536,52 ST,1536 52 ST,3129861,3054710021,Brooklyn,1536,52 STREET,1536 52 STREET,3129861,3054710021,3,312,BK88,238,20,44,,true,false,Lat/Long geosupport,,40.629955,-73.988709,0101000020E6100000B2101D02477F52C0D1798D5DA2504440
321293925,Alteration,"APPLICATION IS FILED FOR CONVERSION OF AN EXISTING 1 FAMILY HOUSE TO ONE STORY, MEZZANINE AND STORAGE CELLAR COMMUNITY FACILITY STRUCTURE.",Residential: 1 & 2 Family,Assembly: Other,Residential,1,1,991,2566,1,,,,,,,,,Permit issued,03/22/2018 12:00:00 AM,12/24/2015,12/24/2015,09/28/2016,2017-08-31,,,2251,MILL AVENUE,2251 MILL AVENUE,3244213,3086560005,Brooklyn,2251,MILL AVENUE,2251 MILL AVENUE,3244213,3086560005,3,318,BK45,70201,22,46,,,false,Lat/Long geosupport,,40.613035,-73.910749,0101000020E610000057772CB6497A52C0D5264EEE774E4440
321445290,Alteration,CONVERT PART OF 2ND FLOOR TO DAY CARE CENTER.,Assembly: Other,Assembly: Other,Other,4,4,6364,6364,1,1,0,0,,,,,,Permit issued,02/14/2017 12:00:00 AM,09/26/2016,09/26/2016,01/31/2017,2017-02-14,02/14/2017,,4202,12 AVE,4202 12 AVE,3135856,3055970041,Brooklyn,4202,12 AVENUE,4202 12 AVENUE,3135856,3055970041,3,312,BK88,224,15,39,,,false,Lat/Long geosupport,,40.640352,-73.990574,0101000020E610000025917D90657F52C0CFF6E80DF7514440
321458463,Alteration,"CORRECT CERTIFICATE OF OCCUPANCY TO NOTE 2ND FLOOR REAR ROOFTOP CAYCARE PLAY CARE PLAY AREA, SWITCH COMMERICAL USE FROM 1ST FLOOR TO 3RD FLOOR & COMMUNITTY FACILITY USE FROM 3RD FLOOR TO 1ST FLOOR, NEW INTERIOR LAYOUT ON 1ST & 3RD FL OORS.",Assembly: Other,Assembly: Other,Other,3,3,18408,18408,,,,,,,,,,Permit issued,04/06/2017 12:00:00 AM,09/29/2016,09/29/2016,12/13/2016,2017-04-06,04/06/2017,,927,MCDONALD AVENUE,927 MCDONALD AVENUE,3127549,3054080055,Brooklyn,927,MCDONALD AVENUE,927 MCDONALD AVENUE,3127549,3054080055,3,314,BK88,478,20,44,,,false,Lat/Long geosupport,,40.631449,-73.976816,0101000020E6100000698D4127847E52C0C40B2252D3504440
321489929,Alteration,TO CONVERT EXISTING MANUFACTURING BUILDING INTO A HOUSE OF WORSHIP.,Commercial,Assembly: Other,Other,2,2,13654,13654,,,,,,,,,,Permit issued,04/13/2018 12:00:00 AM,12/21/2016,12/21/2016,04/10/2017,2017-04-25,04/25/2017,,1676,61 STREET,1676 61 STREET,3132394,3055240038,Brooklyn,1676,61 STREET,1676 61 STREET,3132394,3055240038,3,311,BK28,248,20,44,,,false,Lat/Long geosupport,,40.622893,-73.990724,0101000020E610000030D7A205687F52C023F433F5BA4F4440
321534345,Alteration,FILING CONVERSION OF A 1 STORY COMMERCIAL WAREHOUSE (UG 16/6) BUILDING INTO AN EATING AND DRINKING ESTABLISHMENT WITH DANCING AND CATERING ESTABLISHMENT WITH OUTDOOR ACCESSORY SPACES (UG 12 & 9). AS SHOWN ON DRAWINGS FILED HEREWITH.,Commercial,Assembly: Other,Other,1,1,10113,10113,,,,,,2017-06-29,2018-11-30,T- TCO,0,Complete,05/18/2018 12:00:00 AM,03/01/2017,03/01/2017,04/13/2017,2017-05-22,05/22/2017,,111,GARDNER AVENUE,111 GARDNER AVENUE,3070574,3029770016,Brooklyn,109,GARDNER AVENUE,109 GARDNER AVENUE,3070574,3029770016,3,301,BK90,449,14,34,,,false,Lat/Long geosupport,,40.711009,-73.925338,0101000020E6100000BFEFDFBC387B52C0B114C957025B4440
420013540,Alteration,"ALTERATION I FILED TO CONVERT EXISTING CHURCH INTO A MOSQUE. NO CHANGE IN USE. RENOVATE ALL BATHROOMS, KITCHENS AND INTERIOR ROOMS. REPLACE ROOF AND NEW CELLAR UNDER MAIN PRAYER HALL.",Assembly: Other,Assembly: Other,Other,2,2,13069,13069,,,,,,2015-10-15,2018-03-28,C- CO,0,Complete,03/28/2018 12:00:00 AM,05/05/2009,05/05/2009,05/27/2009,2009-06-01,06/24/2010,03/28/2018,114-01,91AVENUE,114-01 91AVENUE,4195720,4093220030,Queens,114-01,91 AVENUE,114-01 91 AVENUE,4195720,4093220030,4,409,QN54,124,27,29,,,false,Lat/Long geosupport,,40.694962,-73.832897,0101000020E6100000F0FB372F4E7552C03BFBCA83F4584440
420146201,Alteration,HEREWITH FILED APPLICATION FOR INTERIOR RENOVATIONS. A PLACE OF ASSEMBLY IS BEING FILED IN CONJUNCTION.,Assembly: Other,Assembly: Other,Other,1,1,7320,7320,,,,,,,,,,Permit issued,10/08/2010 12:00:00 AM,03/03/2010,03/03/2010,05/12/2010,2010-10-08,10/08/2010,,111-06,ROOSEVELT AVENUE,111-06 ROOSEVELT AVENUE,4049888,4020130001,Queens,111-02,ROOSEVELT AVENUE,111-02 ROOSEVELT AVENUE,4049888,4020130001,4,404,QN25,399,24,21,,,false,Lat/Long geosupport,,40.751420,-73.855493,0101000020E61000003E3DB665C07652C0B9C7D2872E604440
420163218,Alteration,"ALTERATION TYPE 1 FILED HEREWITH IN ORDER TO INCLUDE 'ACCESSORY CABARET' TO CERTIFICATE OF OCCUPANCY.  NO CHANGE IN USE, OCCUPANCY, ZONING, OR EGRESS PROPOSED.",Assembly: Other,Assembly: Other,Other,1,1,7601,7601,,,,,,,,,,Withdrawn,03/16/2012 12:00:00 AM,03/18/2010,03/18/2010,10/14/2010,2012-03-16,03/16/2012,,73-60,GRAND AVE,73-60 GRAND AVE,4062871,4028030020,Queens,73-60,GRAND AVENUE,73-60 GRAND AVENUE,4062871,4028030020,4,405,QN30,49302,24,30,,,true,Lat/Long geosupport,,40.729783,-73.887966,0101000020E6100000707D586FD47852C0A0168387695D4440
420335998,Alteration,FILED HEREWITH FOR BSA OBJECTION ONLY FOR INTERIOR PARTITIONS TO ACCOMMODATE PHYSICAL CULTURAL HEALTH ESTABLISHMENT (RETRO FITNESS).,Assembly: Other,Assembly: Other,Other,1,1,30000,30000,,,,,,,,,,Permit issued,12/02/2011 12:00:00 AM,03/25/2011,04/07/2011,10/28/2011,2011-11-17,12/02/2011,,32-32,49TH STREET,32-32 49TH STREET,4013644,4007340047,Queens,32-28,49 STREET,32-28 49 STREET,4013644,4007340047,4,401,QN70,161,30,26,,,false,Lat/Long geosupport,,40.754807,-73.912793,0101000020E610000022C154336B7A52C05CE509849D604440
420353209,Alteration,REMOVAL AND INSTALLATION OF NON BEARING PARTITIONS. CHANGE TO USE AND OCCUPANCY ON MEZZ AND FIRST FLOOR.,Assembly: Other,Eating & Drinking,Other,1,1,3970,3970,,,,,,2013-09-24,2013-10-01,C- CO,0,Complete,10/01/2013 12:00:00 AM,05/06/2011,05/06/2011,09/21/2011,2011-11-23,01/20/2012,10/01/2013,51-07,27TH STREET,51-07 27TH STREET,4000769,4001120001,Queens,51-01,27 STREET,51-01 27 STREET,4000769,4001120001,4,402,QN31,1,30,26,,,false,Lat/Long geosupport,,40.739499,-73.942558,0101000020E61000005325CADE527C52C05D363AE7A75E4440
420373027,Alteration,"ALTERATION 1 FILED TO CHANGE THE EXISTING USE FROM BILLIARD PARLOR USE GROUP 8 TO BANQUET/ CATERING HALL USE GROUP 9, AMEND EXISTING C.O. 402607988F. NEW METAL DECK AT REAR YARD.",Assembly: Other,Commercial,Other,2,2,4700,4700,,,,,,,,,,Permit issued,03/19/2012 12:00:00 AM,06/27/2011,06/27/2011,09/28/2011,2012-03-19,03/19/2012,,94-61,CORONA AVENUE,94-61 CORONA AVENUE,4314506,4016040054,Queens,94-61,CORONA AVENUE,94-61 CORONA AVENUE,4314506,4016040054,4,404,QN29,461,24,25,,,false,Lat/Long geosupport,,40.742360,-73.867851,0101000020E610000042B3EBDE8A7752C0E5ED08A7055F4440
420484871,Alteration,HORIZONTAL AND VERTICAL EXTENSION TO CHURCH SANCTUARY,Assembly: Other,Assembly: Other,Other,2,2,2867,4899,1,,,,,,,,,Permit issued,08/22/2016 12:00:00 AM,09/21/2011,09/21/2011,02/13/2012,2014-05-15,06/15/2015,,107-06,VAN WYCK EXPRESSWAY,107-06 VAN WYCK EXPRESSWAY,4206248,4096150009,Queens,,VAN WYCK EXPRESSWAY SR WEST,,4206248,4096150009,4,410,QN55,15801,28,28,,,false,Lat/Long geosupport,,40.688063,-73.809177,0101000020E61000003AEB538EC97352C0384BC97212584440
420530964,Alteration,CHANGE USE FROM FUNERAL HOME TO CHURCH.,Assembly: Other,Assembly: Other,Other,2,2,5330,5330,,,,,,,,,,Permit issued,12/14/2016 12:00:00 AM,02/08/2012,02/08/2012,12/03/2012,2014-12-08,12/08/2014,,192-07,JAMAICA AVENUE,192-07 JAMAICA AVENUE,4222148,4104480018,Queens,192-07,JAMAICA AVENUE,192-07 JAMAICA AVENUE,4222148,4104480018,4,412,QN07,482,29,23,,,false,Lat/Long geosupport,,40.713272,-73.767853,0101000020E6100000ACC8E880247152C08693347F4C5B4440
420581025,Alteration,HEREBY WE ARE FILING TO CORRECT THE FOLLOWING VIOLATIONS:34446936P; 34446935N; 34451071L; 34451072N; TO BRING TO CONFORMING USE THE THIRD FLOOR FROM OFFICES TO RESIDENTIAL USE OF BUILDING #1 AND OTHER MINOR JOBS.HEREBY WE ARE FILING TO MAKE FEW CHANGES ON THE PLUMBING DRAWINGS AND SCHEDULE B AS BUILT.,Assembly: Other,Eating & Drinking,Other,3,3,5250,5250,0,1,1,0,,,,,,Permit issued,05/13/2016 12:00:00 AM,06/14/2012,06/14/2012,08/27/2012,2012-10-12,11/16/2012,,147-13,HILLSIDE AVENUE,147-13 HILLSIDE AVENUE,4448761,4097020055,Queens,147-13,HILLSIDE AVENUE,147-13 HILLSIDE AVENUE,4448761,4097020055,4,408,QN61,238,28,24,,,false,Lat/Long geosupport,,40.706168,-73.809259,0101000020E610000098BF42E6CA7352C0A9BD88B6635A4440
420628887,Alteration,"RENOVATION OF EXIST. BILLIARD PARLOR TO EATING & DRINKING ESTABLISHMENT, BILLIARD PARLOR &. OBTAIN NEW CERTIFICATE OF OCCUPANCY.",Commercial,Assembly: Other,Other,1,1,13950,13950,,,,,,,,,,Permit issued,11/09/2018 12:00:00 AM,09/28/2012,09/28/2012,12/19/2012,2013-07-19,07/25/2013,,75-16,ROCKAWAY BLVD.,75-16 ROCKAWAY BLVD.,4184681,4089460007,Queens,75-16,ROCKAWAY BOULEVARD,75-16 ROCKAWAY BOULEVARD,4184681,4089460007,4,409,QN53,6,27,30,,,false,Lat/Long geosupport,,40.685419,-73.864506,0101000020E6100000884CF910547752C04D874ECFBB574440
420651486,Alteration,OUTDOOR SEATING @ REAR YARD FOR EATING AND DRINKING PLACE LOCATED @ 29-12 23 AVENUE FILED UNDER 440651002.,Residential: 1 & 2 Family,Assembly: Other,Residential,2,2,2250,2250,2,2,0,0,0,2016-11-17,2018-04-20,T- TCO,2,Complete,06/10/2015 12:00:00 AM,04/21/2014,04/23/2014,03/05/2015,2015-04-03,06/10/2015,,29-14,23RD AVENUE,29-14 23RD AVENUE,4017501,4008420069,Queens,29-14,23 AVENUE,29-14 23 AVENUE,4017501,4008420069,4,401,QN72,115,30,22,,,false,Lat/Long geosupport,,40.774572,-73.913626,0101000020E61000009EB12FD9787A52C0DB32E02C25634440
420844206,Alteration,"APPLICATION FILED TO CLARIFY EXISTING CERTIFICATE OF OCCUPANCY - CORRECT SECOND FLOOR AS MEZZANINE, AND PROVIDE NEW EXTERIOR FACADE- ALL AS PER PLANS FILED HEREWITH.SEE SECTION 24",Assembly: Other,Assembly: Other,Other,1,1,10540,10540,,,,,,,,,,Permit issued,07/21/2014 12:00:00 AM,05/14/2013,05/14/2013,11/21/2013,2014-03-31,03/31/2014,,91-15,CORONA AVENUE,91-15 CORONA AVENUE,4039970,4016000116,Queens,91-15,CORONA AVENUE,91-15 CORONA AVENUE,4039970,4016000116,4,404,QN29,463,24,25,,,false,Lat/Long geosupport,,40.742723,-73.872957,0101000020E61000001D740987DE7752C0567E198C115F4440
420894223,Alteration,THIS FILING IS FOR PROPOSED INTERIOR MINOR WALL PARTITIONS TO EXISTING COMMERI CIAL SPACE ON SECOND FLOOR (PARTIAL) AND NEW FINISHES ON GROUND FLOOR (PARTIAL ) INTERIOR WITH CHANGE OF USE FOR NEW PHYSICAL CULTURE ESTABLISHMENT AT 2ND FL OOR (PARTIAL) ALL AS PER PLANS FILED.,Commercial,Assembly: Other,Other,2,2,15779,15779,,,,,,2016-07-05,2018-05-25,T- TCO,0,Complete,12/02/2014 12:00:00 AM,09/11/2013,09/11/2013,11/20/2014,2014-12-02,12/02/2014,,78-02,ROOSEVELT AVE,78-02 ROOSEVELT AVE,4036807,4014897501,Queens,78-02,ROOSEVELT AVENUE,78-02 ROOSEVELT AVENUE,4036807,4014897501,4,404,QN29,267,24,25,,,false,Lat/Long geosupport,,40.746998,-73.887244,0101000020E61000009FE40E9BC87852C0B51666A19D5F4440
420952570,Demolition,TO ERECT TEMPORARY FENCE AND DEMOLISH EXISTING BUILDING STRUCTURE,Assembly: Other,Empty Lot,Other,2,0,,0,,0,,,,,,,,Complete (demolition),05/05/2015 12:00:00 AM,02/27/2014,02/27/2014,02/27/2014,2014-07-18,03/09/2015,05/05/2015,51-27,QUEENS BLVD,51-27 QUEENS BLVD,4030860,4013200047,Queens,51-25,QUEENS BOULEVARD,51-25 QUEENS BOULEVARD,4030860,4013200047,4,402,QN31,25302,30,26,,,false,Lat/Long geosupport,,40.742911,-73.912935,0101000020E6100000EC17EC866D7A52C0596B28B5175F4440
