job_number,job_type,job_description,occ_init,occ_prop,occ_category,stories_init,stories_prop,zoningsft_init,zoningsft_prop,units_init,units_prop,units_net,units_complete,units_incomplete,co_earliest_effectivedate,co_latest_effectivedate,co_latest_certtype,co_latest_units,status,status_date,status_a,status_d,status_p,status_q,status_r,status_x,address_house,address_street,address,bin,bbl,boro,geo_address_house,geo_address_street,geo_address,geo_bin,geo_bbl,geo_boro,geo_cd,geo_ntacode2010,geo_censusblock2010,geo_csd,geo_council,x_dcpedited,x_mixeduse,x_inactive,x_geomsource,x_reason,latitude,longitude,geom,row_number
420654893,New Building,AMEND PW1 FOR CRFN# FOR DRIVEWAY EASEMENT & AMEND SCHEDULE A UNDER DOC 2: CHANGE NOTES TO APPEAR ON CERTIFICATE OF OCCUPANCY,Empty Lot,Residential: Multi-Family,Residential,0,4,0,7270,0,10,10,0,,,,,,In progress,12/14/2016 12:00:00 AM,08/25/2015,08/26/2015,12/14/2016,,,,129-19,101 AVENUE,129-19 101 AVENUE,4618156,4094730026,Queens,129-19,101 AVENUE,129-19 101 AVENUE,4000000,4094730026,4,409,QN54,154,28,28,,,false,Lat/Long geosupport,,40.692579,-73.817700,0101000020E61000001C7C6132557452C0BD72BD6DA6584440,1
420654884,New Building,NEW BUILDING FOR A FIVE FAMILY HOUSE WITH ONE SHOP ON THE FIRST FLOOR.,Empty Lot,Residential: Multi-Family,Residential,0,4,0,3708,0,5,5,0,,,,,,In progress,12/14/2016 12:00:00 AM,08/25/2015,08/26/2015,12/14/2016,,,,129-19,101 AVENUE,129-19 101 AVENUE,4200123,4094730023,Queens,129-19,101 AVENUE,129-19 101 AVENUE,4000000,4094730026,4,409,QN54,154,28,28,,,false,Lat/Long geosupport,,40.692579,-73.817700,0101000020E61000001C7C6132557452C0BD72BD6DA6584440,2
421409906,New Building,NEW BUILDING TWO STORY,Empty Lot,Residential: 1 & 2 Family,Residential,0,2,0,1960,0,2,2,0,,,,,,In progress (last plan disapproved),10/13/2017 12:00:00 AM,12/20/2016,12/20/2016,,,,,130-11,INWOOD STREET,130-11 INWOOD STREET,4615136,4120820050,Queens,130-13,INWOOD STREET,130-13 INWOOD STREET,4000000,4120820049,4,412,QN76,792,27,28,,,false,Lat/Long geosupport,,40.670005,-73.793147,0101000020E6100000EA7AA2EBC27252C008944DB9C2554440,1
421680185,New Building,TWO STORY TWO FAMILY DWELLING.,Empty Lot,Residential: 1 & 2 Family,Residential,0,2,0,1900,0,2,2,0,,,,,,In progress (last plan disapproved),11/21/2018 12:00:00 AM,10/16/2018,10/16/2018,,,,,130-11,INWOOD STREET,130-11 INWOOD STREET,4615136,4120820050,Queens,130-13,INWOOD STREET,130-13 INWOOD STREET,4000000,4120820049,4,412,QN76,792,27,28,,,false,Lat/Long geosupport,,40.670005,-73.793147,0101000020E6100000EA7AA2EBC27252C008944DB9C2554440,2
421406838,New Building,NEW BUILDING TWO STORY,Empty Lot,Residential: 1 & 2 Family,Residential,0,2,0,1960,0,2,2,0,,,,,,In progress (last plan disapproved),10/19/2017 12:00:00 AM,12/19/2016,12/20/2016,,,,,130-13,INWOOD STREET,130-13 INWOOD STREET,4262454,4120820049,Queens,130-13,INWOOD STREET,130-13 INWOOD STREET,4262454,4120820049,4,412,QN76,792,27,28,,,false,Lat/Long geosupport,,40.670005,-73.793147,0101000020E6100000EA7AA2EBC27252C008944DB9C2554440,1
421671211,New Building,TWO STORY TWO FAMILY DWELLING.,Empty Lot,Residential: 1 & 2 Family,Residential,0,2,0,1700,0,2,2,0,,,,,,In progress (last plan disapproved),10/29/2018 12:00:00 AM,10/12/2018,10/16/2018,,,,,130-13,INWOOD STREET,130-13 INWOOD STREET,4262454,4120820049,Queens,130-13,INWOOD STREET,130-13 INWOOD STREET,4262454,4120820049,4,412,QN76,792,27,28,,,false,Lat/Long geosupport,,40.670005,-73.793147,0101000020E6100000EA7AA2EBC27252C008944DB9C2554440,2
122996393,Alteration,SPLIT AND REMODEL APTS ON THE FIFTH FLOOR. NEW CO WILL BE OBTAINED.,Residential: Multi-Family,Residential: Multi-Family,Residential,6,6,15000,15000,29,30,1,0,,,,,,Permit issued,03/22/2018 12:00:00 AM,03/10/2017,03/10/2017,04/07/2017,2017-05-05,06/07/2017,,130,EAST 93 STREET,130 EAST 93 STREET,1048367,1015210059,Manhattan,130,EAST   93 STREET,130 EAST 93 STREET,1048367,1015210059,1,108,MN40,15801,02,04,,,false,Lat/Long geosupport,,40.783902,-73.952851,0101000020E61000007FBDC282FB7C52C06EA296E656644440,1
120492840,Alteration,SPLIT EXISTING APARTMENTS ON THE SECOND AND THIRD FLS,Residential,Residential: Multi-Family,Residential,6,6,15000,15000,27,28,1,1,0,2013-10-11,2013-10-11,C- CO,28,Complete,10/11/2013 12:00:00 AM,10/07/2010,10/07/2010,10/28/2010,2010-11-10,02/17/2011,10/11/2013,130,EAST 93 STREET,130 EAST 93 STREET,1048367,1015210059,Manhattan,130,EAST   93 STREET,130 EAST 93 STREET,1048367,1015210059,1,108,MN40,15801,02,04,,,false,Lat/Long geosupport,,40.783902,-73.952851,0101000020E61000007FBDC282FB7C52C06EA296E656644440,2
421405642,New Building,FILING OF NEW 16 STORY TRANSIENT HOTEL,Empty Lot,Hotel or Dormitory,Other,0,16,0,494761,0,472,472,0,,,,,,Permit issued,11/08/2018 12:00:00 AM,11/30/2016,12/07/2016,12/27/2017,2018-01-29,01/29/2018,,131-02,40 ROAD,131-02 40 ROAD,4614966,4050660150,Queens,131-02,40 ROAD,131-02 40 ROAD,4614966,4050660150,4,407,QN22,871,25,20,,,false,Lat/Long geosupport,,40.755621,-73.836314,0101000020E6100000F7CB272B867552C0DD955D30B8604440,1
421374881,New Building,FILING OF NEW 17 STORY RESIDENTIAL NORTH TOWER,Empty Lot,Residential: Multi-Family,Residential,0,17,0,494761,0,142,142,0,,,,,,Permit issued,11/08/2018 12:00:00 AM,09/15/2016,09/16/2016,12/06/2017,2018-01-29,01/29/2018,,131-02,40 ROAD,131-02 40 ROAD,4614966,4050660150,Queens,131-02,40 ROAD,131-02 40 ROAD,4614966,4050660150,4,407,QN22,871,25,20,,,false,Lat/Long geosupport,,40.755621,-73.836314,0101000020E6100000F7CB272B867552C0DD955D30B8604440,2
421374845,New Building,FILING OF NEW 17 STORY RESIDENTIAL SOUTH TOWER,Empty Lot,Residential: Multi-Family,Residential,0,17,0,494761,0,136,136,0,,,,,,Permit issued,11/08/2018 12:00:00 AM,09/15/2016,09/16/2016,12/06/2017,2018-01-29,01/29/2018,,131-02,40 ROAD,131-02 40 ROAD,4614966,4050660150,Queens,131-02,40 ROAD,131-02 40 ROAD,4614966,4050660150,4,407,QN22,871,25,20,,,false,Lat/Long geosupport,,40.755621,-73.836314,0101000020E6100000F7CB272B867552C0DD955D30B8604440,3
220633946,New Building,"PROPOSED NEW FOUR (4) STORY W/ PENTHOUSE, 8 DWELLING UNIT, RESIDENTIAL BUILDING.",Empty Lot,Residential: Multi-Family,Residential,0,4,0,10711,0,8,8,0,,,,,,Filed,02/08/2018 12:00:00 AM,02/08/2018,,,,,,1318,FRANKLIN AVENUE,1318 FRANKLIN AVENUE,2009725,2029330006,Bronx,1318,FRANKLIN AVENUE,1318 FRANKLIN AVENUE,2009725,2029330006,2,203,BX35,149,09,16,,,false,Lat/Long geosupport,,40.832133,-73.901139,0101000020E61000009C89E942AC7952C010768A55836A4440,1
220669783,New Building,"PROPOSED NEW FOUR (4) STORY W/ PENTHOUSE, 8 DWELLING UNIT, RESIDENTIAL BUILDING.",Empty Lot,Residential: Multi-Family,Residential,0,4,0,8379,0,8,8,0,,,,,,In progress (last plan disapproved),12/20/2018 12:00:00 AM,10/01/2018,12/10/2018,,,,,1318,FRANKLIN AVENUE,1318 FRANKLIN AVENUE,2009725,2029330006,Bronx,1318,FRANKLIN AVENUE,1318 FRANKLIN AVENUE,2009725,2029330006,2,203,BX35,149,09,16,,,false,Lat/Long geosupport,,40.832133,-73.901139,0101000020E61000009C89E942AC7952C010768A55836A4440,2
421618921,Alteration,"CONVERT EXISTING ONE FAMILY TO THREE FAMILY WITH VERTICAL AND HORIZONTAL ENLARGEMENT AND INTERIOR RENOVATION OF PARTITION WORKS,MECHANICAL,SPRINKLER AND PLUMBING WORKS AS PER PLAN FILE HEREWITH. GET NEW C OF O.",Residential,Residential: Multi-Family,Residential,1,2,959,2993,1,3,2,0,,,,,,In progress (last plan disapproved),04/17/2018 12:00:00 AM,04/11/2018,04/11/2018,,,,,132-36,60 AVE,132-36 60 AVE,4139378,4063680086,Queens,132-36,60 AVENUE,132-36 60 AVENUE,4139378,4063680086,4,407,QN62,80301,25,20,,,false,Lat/Long geosupport,,40.743612,-73.832302,0101000020E61000004E999B6F447552C0E27492AD2E5F4440,1
