error_message,input_borough,input_hnum,input_street,uid
"ADDRESS NUMBER OUT OF RANGE TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,18,LEASON PLACE,520304475
"ADDRESS NUMBER OUT OF RANGE TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,30,LEASON PLACE,520304536
THIS STREET HAS NO ADDRESSES INPUT ADDRESS IS A PSEUDO-ADDRESS,Queens,151-49,JUNIPER DRIVE,421626654
THIS STREET HAS NO ADDRESSES INPUT ADDRESS IS A PSEUDO-ADDRESS,Queens,151-49,JUNIPER DRIVE,421626672
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Queens,195GAR,INGRAM ST,421574095
THIS STREET HAS NO ADDRESSES INPUT ADDRESS IS A PSEUDO-ADDRESS,Queens,151-49,JUNIPER DRIVE,421633432
ADDRESS NUMBER OUT OF RANGE INPUT ADDRESS IS A PSEUDO-ADDRESS,Queens,126-19,LOCUST MANOR LANE,402400585
ADDRESS NUMBER OUT OF RANGE INPUT ADDRESS IS A PSEUDO-ADDRESS,Queens,150-35,SULLIVAN DRIVE,421219452
"ADDRESS NUMBER OUT OF RANGE ADDRESS FOUND IN TPAD, NOT FOUND IN PAD",Queens,222-02,149 AVENUE,420651592
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Queens,366,HILLSIDE AVENUE,401365982
"ADDRESS NUMBER OUT OF RANGE TPAD BBL USED, NO EXISTING PAD BBL",Bronx,2300,BARTOW AVENUE,210177869
THIS STREET HAS NO ADDRESSES THIS STREET HAS NO ADDRESSES,Staten Island,28,WALTON AVENUE,500567380
THIS STREET HAS NO ADDRESSES ADDRESS NUMBER OUT OF RANGE,Queens,1506,PINE COURT,420015977
'SAINT MARK''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 'SAINT MARK''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.,Brooklyn,1633,SAINT MARK''S AVENUE,310058647
THIS STREET HAS NO ADDRESSES THIS STREET HAS NO ADDRESSES,Queens,2512,ROBIN ROAD,402021628
ADDRESS NUMBER OUT OF RANGE INPUT ADDRESS IS A PSEUDO-ADDRESS,Queens,716,MORSE COURT,402195691
ADDRESS NUMBER OUT OF RANGE INPUT ADDRESS IS A PSEUDO-ADDRESS,Queens,714,MORSE COURT,402195708
ADDRESS NUMBER OUT OF RANGE INPUT ADDRESS IS A PSEUDO-ADDRESS,Queens,706,MORSE COURT,402424471
THIS STREET HAS NO ADDRESSES THIS STREET HAS NO ADDRESSES,Staten Island,212,GARRAYS CIRCLE,500434194
ADDRESS NUMBER OUT OF RANGE ,Staten Island,64,SPRUCE STREET,500657942
ADDRESS NUMBER OUT OF RANGE INPUT ADDRESS IS A PSEUDO-ADDRESS,Queens,144-42,177 PLACE,410035876
ADDRESS NBR 204-15 GARAG  HAS AN UNKNOWN OR INVALID SUFFIX/ENDING. ADDRESS NBR 204-15 GARAG  HAS AN UNKNOWN OR INVALID SUFFIX/ENDING.,Queens,204-15 GARAG,38 AVE,421594153
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Brooklyn,648,PACIFIC STREET,320137525
'ST MARK''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 'ST MARK''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.,Brooklyn,492,ST MARK''S AVENUE,302173699
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,180,BAY 54 STREET,301033156
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,132,BAY 54 STREET,301017646
'ST ANN''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 'ST ANN''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.,Bronx,800,ST ANN''S AVENUE,201142833
THIS STREET HAS NO ADDRESSES THIS STREET HAS NO ADDRESSES,Queens,16,WOODROW COTTAGES,420366552
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2631,WEST 20 STREET,301035742
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Brooklyn,292,FREEMAN STREET,301396763
THIS STREET HAS NO ADDRESSES THIS STREET HAS NO ADDRESSES,Queens,133-55,SPRING HILL LANE,401952801
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Queens,1038,GARDEN COURT,402533549
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Staten Island,21,TALARICO COURT,500749274
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Brooklyn,2872B,86 STREET,301105293
THIS STREET HAS NO ADDRESSES THIS STREET HAS NO ADDRESSES,Queens,3-38,WHITESTONE CIRCLE,402629571
THIS STREET HAS NO ADDRESSES INPUT ADDRESS IS A PSEUDO-ADDRESS,Staten Island,24,SAVONA COURT,520140455
THIS STREET HAS NO ADDRESSES INPUT ADDRESS IS A PSEUDO-ADDRESS,Staten Island,5,OSPREY COURT,520363071
ADDRESS NUMBER OUT OF RANGE INPUT ADDRESS IS A PSEUDO-ADDRESS,Queens,150-56,SULLIVAN DRIVE,421262216
THIS STREET HAS NO ADDRESSES ADDRESS NUMBER OUT OF RANGE,Queens,150-14,JEWELS ROAD,402631844
THIS STREET HAS NO ADDRESSES ADDRESS NUMBER OUT OF RANGE,Queens,150-10,JEWELS ROAD,402631835
THIS STREET HAS NO ADDRESSES THIS STREET HAS NO ADDRESSES,Queens,135-30,STONE RIDGE LANE,401952507
THIS STREET HAS NO ADDRESSES ADDRESS NUMBER OUT OF RANGE,Staten Island,79,GALLANT LOOP,510032260
THIS STREET HAS NO ADDRESSES INPUT ADDRESS IS A PSEUDO-ADDRESS,Staten Island,59,GALLANT LOOP,510032251
'TEST STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES 'TEST STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES,Manhattan,1,TEST STREET,190000018
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,443,FOURBERIE LANE,520266541
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Queens,21-41,BUTLER ST,420031263
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Staten Island,51,GIACOMO LANE,500788070
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,47,MCGEE LANE,520099465
ADDRESS NUMBER OUT OF RANGE ,Queens,7-11,ANNAPOLIS STREET,421347910
"ADDRESS NUMBER OUT OF RANGE TPAD BBL USED, NO EXISTING PAD BBL",Queens,104-13,170 STREET,421525460
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Queens,150-87,CLINTONVILLE COURT,420530606
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, PAD PSEUDO-ADDRESS ON DIFFERENT BBL THAN TPAD NB BIN",Queens,18-50,BAY LANE,421543057
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,327,FOURBERIE LANE,520266952
"ADDRESS NUMBER OUT OF RANGE TPAD BBL USED, NO EXISTING PAD BBL",Queens,139-16,ATLANTIC AVE,421234079
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Queens,129-12,6TH AVENUE,410126037
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Queens,129-04,6TH AVENUE,410125984
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, PAD PSEUDO-ADDRESS ON DIFFERENT BBL THAN TPAD NB BIN",Queens,18-31,BAY LANE,421542922
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,271,AVIDITA PLACE,520267363
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,386,FOURBERIE LANE,520267461
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,359,FOURBERIE LANE,520266854
THIS STREET HAS NO ADDRESSES INPUT ADDRESS IS A PSEUDO-ADDRESS,Bronx,1,MAYA DRIVE,200856305
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Staten Island,56,TERRACE AVENUE,500571231
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,152,BAY 54 STREET,300990051
DUPLICATE ADDRESS-USE HILLSIDE AVENUE ROCKAWAYS OR HILLSIDE AVENUE DOUGLASTON LOT HAS MORE ITEMS THAN LISTED,Queens,333,HILLSIDE AVENUE,420821301
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Brooklyn,1611,36 STREET,302148110
'ST ANN''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 'ST ANN''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.,Bronx,215,ST ANN''S AVENUE,220285242
'61' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES. '61' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.,Brooklyn,516,61,310144769
ADDRESS NUMBER OUT OF RANGE INPUT ADDRESS IS A PSEUDO-ADDRESS,Queens,126-17,LOCUST MANOR LANE,402400576
THIS STREET HAS NO ADDRESSES THIS STREET HAS NO ADDRESSES,Queens,135-09,SPRING HILL LANE,401952678
"ADDRESS NUMBER OUT OF RANGE ADDRESS FOUND IN TPAD, NOT FOUND IN PAD",Staten Island,2,LEASON PLACE,520304545
'O''GORMAN AVE' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES 'O''GORMAN AVE' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES,Staten Island,453,O''GORMAN AVE,520270206
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,203,AVIDITA PLACE,520267078
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Bronx,1451,BAY SHORE AVENUE,200995183
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,367,FOURBERIE LANE,520266818
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,323,FOURBERIE LANE,520266970
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,437,FOURBERIE LANE,520266569
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Queens,62-14,HILLMEYER ROAD,421573318
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,396,FOURBERIE LANE,520267425
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,249,AVIDITA PLACE,520267265
THIS STREET HAS NO ADDRESSES THIS STREET HAS NO ADDRESSES,Queens,133-53,SPRING HILL LANE,401952794
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,364,FOURBERIE LANE,520267568
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,362,FOURBERIE LANE,520267577
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,317,FOURBERIE LANE,520267005
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, PAD PSEUDO-ADDRESS ON DIFFERENT BBL THAN TPAD NB BIN",Staten Island,15,SAVONA COURT,520140366
'O''CONNELL COURT' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES 'O''CONNELL COURT' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES,Queens,49-05,O''CONNELL COURT,421580382
"ADDRESS NUMBER OUT OF RANGE ADDRESS FOUND IN TPAD, NOT FOUND IN PAD",Bronx,2301,TILLOTSON AVE,220418849
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Brooklyn,622,PACIFIC STREET,302168856
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Bronx,8,SOUTHERN BOULEVARD,210074499
THIS STREET HAS NO ADDRESSES THIS STREET HAS NO ADDRESSES,Queens,10,WOODROW COTTAGES,420366525
'NORTHERN BOLULEVARD' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 'NORTHERN BOLULEVARD' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.,Queens,150-09,NORTHERN BOLULEVARD,401831764
'SEGINE AVE' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES. 'SEGINE AVE' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES.,Staten Island,286,SEGINE AVE,500407552
'FATHER CAPODANO BOULEVARD' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES. 'FATHER CAPODANO BOULEVARD' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES.,Staten Island,891,FATHER CAPODANO BOULEVARD,500436290
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,142,BAY 54 STREET,301009619
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Queens,138-38,33 AVENUE,410050527
'FREDERICK DOULGASS BOULEVARD' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 'FREDERICK DOULGASS BOULEVARD' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.,Manhattan,2280,FREDERICK DOULGASS BOULEVARD,104893929
'ST MARK''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 'ST MARK''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.,Brooklyn,1278,ST MARK''S AVENUE,302347084
'SACKETT' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES. 'SACKETT' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES.,Brooklyn,288,SACKETT,320203203
'ST JOHN''S PL' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 'ST JOHN''S PL' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.,Brooklyn,1335,ST JOHN''S PL,320535211
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Queens,381,BAYSIDE,420953597
ADDRESS NUMBER OUT OF RANGE ADDR NUMBER ALTERED: HYPHEN INSERTED,Queens,332,SEASIDE AVENUE,401302755
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Staten Island,252,RICHMOND AVENUE,510019016
"ADDRESS NUMBER OUT OF RANGE ADDRESS FOUND IN TPAD, NOT FOUND IN PAD",Staten Island,145B,ARTHUR KILL ROAD,520073964
'ST. MARK''S PLACE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 'ST. MARK''S PLACE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.,Brooklyn,8,ST. MARK''S PLACE,320908746
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Queens,150-37,SULLIVAN DRIVE,421256492
'ST LUKE''S PLACE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 'ST LUKE''S PLACE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.,Manhattan,14,ST LUKE''S PLACE,121326083
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,31,MCGEE LANE,520099385
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Queens,174-25,142 STREET,401218446
'ST. STEPHEN''S PLACE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 'ST. STEPHEN''S PLACE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.,Staten Island,97,ST. STEPHEN''S PLACE,520000551
THIS STREET HAS NO ADDRESSES INPUT ADDRESS IS A PSEUDO-ADDRESS,Staten Island,20,MAXMILLAN COURT,520019024
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, PAD PSEUDO-ADDRESS ON DIFFERENT BBL THAN TPAD NB BIN",Queens,18-47,BAY LANE,421543020
THIS STREET HAS NO ADDRESSES INPUT ADDRESS IS A PSEUDO-ADDRESS,Staten Island,11,NELLO COURT,520367273
ADDRESS NUMBER OUT OF RANGE INPUT ADDRESS IS A PSEUDO-ADDRESS,Staten Island,70,TENNYSON DRIVE,520317158
THIS STREET HAS NO ADDRESSES INPUT ADDRESS IS A PSEUDO-ADDRESS,Staten Island,51,GALLANT COURT,500476852
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,96,CUPIDITY DRIVE,520266444
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,98,CUPIDITY DRIVE,520266435
THIS STREET HAS NO ADDRESSES ADDRESS NUMBER OUT OF RANGE,Queens,1504,PINE COURT,420015771
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,465,FOURBERIE LANE,520266471
THIS STREET HAS NO ADDRESSES INPUT ADDRESS IS A PSEUDO-ADDRESS,Staten Island,50,GALLANT LOOP,510032304
ADDRESS NUMBER OUT OF RANGE ADDRESS NUMBER OUT OF RANGE,Queens,129-18,6TH AVENUE,410126028
THIS STREET HAS NO ADDRESSES INPUT ADDRESS IS A PSEUDO-ADDRESS,Staten Island,19,NELLO COURT,520367246
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Queens,62-50,HILLMEYER ROAD,421665807
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,395,FOURBERIE LANE,520266694
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,381,FOURBERIE LANE,520266756
"THIS STREET HAS NO ADDRESSES ADDRESS FOUND IN TPAD, NOT FOUND IN PAD",Staten Island,42,TORRICE LOOP,520290989
"THIS STREET HAS NO ADDRESSES TPAD BBL USED, NO EXISTING PAD BBL",Staten Island,251,AVIDITA PLACE,520267274
THIS STREET HAS NO ADDRESSES THIS STREET HAS NO ADDRESSES,Queens,133-41,SPRING HILL LANE,401952758
THIS STREET HAS NO ADDRESSES THIS STREET HAS NO ADDRESSES,Queens,133-56,STONE RIDGE LANE,401952874
THIS STREET HAS NO ADDRESSES THIS STREET HAS NO ADDRESSES,Staten Island,24,WALTON AVENUE,500567371
'GREENPOINT AVENUW' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 'GREENPOINT AVENUW' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.,Brooklyn,353,GREENPOINT AVENUW,320052214
THIS STREET HAS NO ADDRESSES INPUT ADDRESS IS A PSEUDO-ADDRESS,Staten Island,31,SAVONA COURT,520140400
ADDRESS NUMBER OUT OF RANGE ADDR NUMBER ALTERED: HYPHEN INSERTED,Queens,813,JARVIS AVENUE,402174730
